funded_amnt,term,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,acc_now_delinq,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal
12000,36 months,398.52,B,B3,3,RENT,84000,Not Verified,debt_consolidation,PA,17.39,0,0,2006,1,13,0,13467
5975,36 months,229.59,E,E5,3,MORTGAGE,52000,Verified,debt_consolidation,FL,40.5,0,0,1994,1,15,0,6279
10850,60 months,315.29,F,F3,3,RENT,65000,Source Verified,debt_consolidation,CT,11.67,0,0,2007,0,10,0,6993
10000,36 months,340.23,C,C1,10,MORTGAGE,98500,Verified,debt_consolidation,CT,12.01,0,0,2004,0,10,0,18869
9000,36 months,312.43,C,C2,1,RENT,60000,Source Verified,debt_consolidation,MI,15.64,0,0,1992,0,18,1,3142
17600,36 months,593.95,B,B4,10,MORTGAGE,108000,Verified,debt_consolidation,SC,13.78,0,0,1998,2,11,0,18150
16500,36 months,551.91,B,B4,9,RENT,55000,Source Verified,debt_consolidation,GA,20.23,0,0,2001,0,5,2,5326
15000,60 months,393.42,E,E2,0,MORTGAGE,70000,Not Verified,home_improvement,OH,10.8,0,0,2002,0,25,1,5325
10550,60 months,262.14,D,D3,7,MORTGAGE,39000,Source Verified,debt_consolidation,MO,25.23,0,0,2005,0,9,1,4641
9500,36 months,300.29,A,A5,2,RENT,56000,Verified,credit_card,FL,15.56,0,0,2006,0,18,0,9364
18000,60 months,472.1,D,D4,7,MORTGAGE,107000,Verified,house,CA,19.93,1,1,1998,1,11,0,15882
16300,36 months,609.85,E,E4,6,RENT,48000,Source Verified,debt_consolidation,NM,38.8,0,0,2005,3,16,0,8961
7200,36 months,244.97,C,C1,6,RENT,140000,Verified,credit_card,NJ,14.96,0,0,2001,0,6,1,9921
22000,60 months,548.42,D,D4,0,OWN,80000,Source Verified,debt_consolidation,NY,22.82,0,0,1999,1,9,0,31195
14400,60 months,347.21,D,D1,1,RENT,45000,Verified,debt_consolidation,GA,30.49,1,0,1987,0,17,0,21569
16100,36 months,527.02,B,B3,7,OWN,49000,Not Verified,debt_consolidation,CA,19.1,0,0,2002,0,11,0,15378
18000,60 months,423.14,C,C4,4,MORTGAGE,80000,Source Verified,credit_card,NJ,17.28,0,0,2001,0,7,0,19093
15000,36 months,491.01,B,B4,2,RENT,40110,Not Verified,credit_card,IL,15.11,0,0,2003,2,7,0,14481
6000,36 months,209.79,D,D1,3,MORTGAGE,57000,Verified,major_purchase,NY,17.33,0,0,2007,2,9,1,3671
10600,36 months,357.11,B,B4,5,MORTGAGE,110000,Not Verified,debt_consolidation,PA,10.34,0,0,1986,1,19,0,11083
8000,36 months,262.45,B,B2,5,MORTGAGE,50000,Not Verified,debt_consolidation,WV,17.09,0,0,1997,2,9,0,7360
10000,36 months,346.32,E,E1,6,RENT,55008,Not Verified,educational,CA,12.85,0,0,1997,0,7,0,18810
24000,36 months,785.62,B,B4,4,MORTGAGE,80000,Source Verified,credit_card,MI,33.71,0,0,2003,0,21,0,28414
12000,60 months,289.34,D,D1,10,MORTGAGE,53000,Not Verified,credit_card,MI,16.49,0,0,2004,0,9,0,9236
35000,60 months,927.1,E,E4,10,MORTGAGE,185000,Source Verified,debt_consolidation,MO,27.74,0,0,1997,0,11,0,95858
33200,60 months,1023.52,G,G2,0,RENT,96000,Source Verified,debt_consolidation,TN,30.8,0,0,2006,1,5,0,2775
18125,60 months,497.2,E,E5,1,RENT,55000,Source Verified,credit_card,IL,5,0,0,2002,0,9,0,6458
10000,36 months,338.63,C,C2,10,MORTGAGE,54000,Source Verified,debt_consolidation,NJ,16.6,1,0,2003,0,7,0,11200
30000,36 months,1020.24,C,C1,6,MORTGAGE,78000,Verified,credit_card,GA,31.94,0,0,1989,0,30,0,38228
15000,60 months,303.36,A,A5,10,MORTGAGE,135000,Not Verified,credit_card,CA,8.1,0,0,2001,0,11,0,68224
5000,36 months,164.56,B,B5,5,MORTGAGE,61498,Not Verified,debt_consolidation,OH,17.46,0,0,1995,0,13,0,5756
12825,36 months,460.9,D,D2,6,MORTGAGE,52300,Verified,debt_consolidation,TN,14.2,0,0,2003,1,9,0,9662
15000,36 months,469.36,A,A4,1,RENT,78600,Not Verified,debt_consolidation,CA,6.63,0,0,2004,1,9,0,8219
12000,60 months,285.42,C,C5,10,MORTGAGE,95000,Not Verified,debt_consolidation,NY,13.19,0,0,1989,0,17,0,13939
30000,60 months,599.67,D,D5,3,RENT,72000,Verified,debt_consolidation,OH,28.87,0,0,2004,0,8,0,8896
10800,60 months,260.41,D,D1,1,RENT,92000,Source Verified,home_improvement,WA,16.23,0,0,2002,2,12,0,9631
20000,36 months,670.9,C,C2,10,MORTGAGE,70000,Not Verified,debt_consolidation,NV,30.96,0,0,2002,0,16,0,49049
23325,36 months,899.75,E,E1,8,MORTGAGE,53000,Not Verified,home_improvement,FL,6.14,0,0,2002,0,14,1,8835
10000,60 months,255.3,D,D3,6,MORTGAGE,46000,Verified,debt_consolidation,NC,12.95,0,0,1998,1,5,0,2241
2700,36 months,89.67,B,B3,10,MORTGAGE,49500,Not Verified,credit_card,AR,27.59,1,0,2000,1,8,0,10507
25000,60 months,611.82,D,D1,10,MORTGAGE,55000,Source Verified,credit_card,NC,24.77,0,0,2006,0,7,0,10146
22250,60 months,603.82,E,E2,10,OWN,50000,Verified,debt_consolidation,NJ,16.34,0,0,1993,0,6,0,4956
13350,36 months,457.31,C,C2,5,RENT,51000,Source Verified,debt_consolidation,WA,27.98,0,0,2006,5,5,0,9487
4475,36 months,160.82,D,D2,8,RENT,49000,Not Verified,debt_consolidation,OH,10.73,0,0,1987,1,7,0,9867
30000,60 months,765.89,D,D3,10,OWN,74500,Source Verified,debt_consolidation,OH,17.61,1,0,1995,1,20,0,16170
10800,36 months,333.43,A,A3,2,RENT,65000,Verified,credit_card,MD,6.26,0,0,2010,0,11,0,9745
18850,36 months,600.92,B,B2,10,MORTGAGE,41000,Source Verified,debt_consolidation,LA,13.79,0,0,2001,0,6,0,18364
25000,60 months,514,A,A5,0,MORTGAGE,140000,Not Verified,debt_consolidation,TX,13.34,0,0,1990,0,13,0,5723
21600,36 months,770,D,D3,4,RENT,88000,Verified,debt_consolidation,MA,15.34,0,0,1999,2,11,0,24000
2000,36 months,67.38,C,C1,0,OWN,47500,Verified,car,GA,1.26,1,0,2000,1,14,0,1312
5600,36 months,179.94,B,B1,9,MORTGAGE,35000,Verified,debt_consolidation,MT,16.02,1,0,2001,0,11,1,5300
4000,36 months,124.45,A,A3,0,RENT,65000,Source Verified,major_purchase,CA,18.17,0,0,2002,0,10,0,10032
15000,36 months,572.71,E,E4,10,MORTGAGE,46000,Not Verified,debt_consolidation,GA,16.98,0,0,1997,2,12,0,19291
6000,36 months,197.83,B,B5,2,OWN,74500,Source Verified,other,MI,20.87,0,0,2002,1,21,0,9739
14000,36 months,452.8,B,B1,3,MORTGAGE,50000,Not Verified,credit_card,OH,26.84,0,0,2002,0,18,0,14800
2750,36 months,91.5,B,B3,5,MORTGAGE,53000,Verified,debt_consolidation,TX,21.4,0,0,1997,1,11,1,0
20000,36 months,610.62,A,A2,1,OWN,120000,Source Verified,other,VA,17.02,0,0,1996,0,7,0,26597
14000,36 months,470.71,B,B4,1,RENT,120000,Source Verified,debt_consolidation,TX,21.86,0,0,1980,4,19,0,50835
5000,36 months,154.37,A,A2,2,RENT,60000,Not Verified,credit_card,FL,11.04,0,0,2007,1,8,0,5196
23850,36 months,816.18,B,B5,6,MORTGAGE,90000,Verified,debt_consolidation,GA,14.73,0,0,2005,0,9,0,21672
18775,36 months,596.17,A,A5,0,MORTGAGE,70000,Not Verified,debt_consolidation,TX,4.27,0,0,1998,1,8,0,9982
2800,36 months,90.85,B,B1,5,RENT,28800,Not Verified,debt_consolidation,NJ,17.79,0,0,1980,0,5,0,10052
30000,60 months,703.2,C,C1,1,MORTGAGE,73340,Verified,credit_card,FL,7.74,0,0,2000,2,12,0,3116
3000,36 months,102.52,C,C3,5,RENT,46000,Source Verified,other,SD,13.49,0,0,2003,1,12,1,5548
7000,36 months,252.58,D,D5,8,RENT,50000,Verified,debt_consolidation,CA,32.36,0,0,2005,1,22,0,9922
5500,36 months,188.22,B,B5,0,RENT,25000,Source Verified,credit_card,MD,11.42,0,0,2003,0,6,0,5517
9000,36 months,295.59,B,B5,10,MORTGAGE,57000,Source Verified,debt_consolidation,AL,17.12,0,0,1998,2,10,0,11606
15000,36 months,476.3,A,A5,4,MORTGAGE,90000,Not Verified,debt_consolidation,PA,20.41,0,0,1988,0,18,0,16569
16000,36 months,556.77,C,C4,6,RENT,110000,Not Verified,credit_card,NY,6.59,0,0,1997,2,10,0,16149
7000,36 months,225.09,B,B1,7,MORTGAGE,76000,Not Verified,debt_consolidation,AR,20.62,0,0,1998,0,12,0,27110
3000,36 months,107.37,C,C5,3,MORTGAGE,35000,Not Verified,debt_consolidation,TN,11.42,0,0,2001,0,6,0,9694
35000,36 months,1179.12,B,B4,10,MORTGAGE,110808,Verified,credit_card,CA,6.43,0,0,1981,0,10,1,17393
14400,36 months,476.02,B,B4,6,MORTGAGE,78500,Not Verified,debt_consolidation,TX,25.02,5,0,1987,0,26,0,28822
18000,36 months,559.83,A,A4,0,RENT,53000,Source Verified,credit_card,TX,20.52,0,0,2008,1,15,0,6027
15000,36 months,501.02,C,C1,10,MORTGAGE,110000,Source Verified,debt_consolidation,MO,20.17,0,0,2005,1,12,2,12378
