funded_amnt,term,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,acc_now_delinq,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,loan_status
10000,36 months,343.09,C,C2,6,MORTGAGE,60000,Source Verified,debt_consolidation,NY,20.42,0,0,2000,0,10,0,14565,Fully Paid
7000,36 months,232.67,C,C1,10,MORTGAGE,62200,Source Verified,debt_consolidation,GA,9.32,4,0,1998,1,11,0,12695,Fully Paid
2500,36 months,85.83,C,C4,8,RENT,46000,Source Verified,debt_consolidation,PA,5.35,0,0,2008,0,8,0,4342,Charged Off
10000,60 months,251.61,D,D2,10,MORTGAGE,38900,Source Verified,medical,TN,10.06,2,0,2003,0,8,0,3770,Fully Paid
12000,36 months,423.61,C,C4,0,MORTGAGE,80800,Not Verified,debt_consolidation,MA,13.92,0,0,2002,2,9,0,29510,Fully Paid
17000,60 months,409.9,C,C5,10,RENT,50000,Source Verified,debt_consolidation,CA,25.66,0,0,2002,0,10,0,17002,Fully Paid
9325,36 months,313.53,B,B4,10,RENT,39000,Source Verified,credit_card,KS,15.85,0,0,2000,1,3,2,1801,Fully Paid
24000,60 months,564.18,C,C4,2,RENT,1.00E+05,Source Verified,debt_consolidation,MO,32.61,1,0,2005,0,21,0,7423,Charged Off
5600,36 months,168.65,A,A1,5,RENT,60000,Verified,debt_consolidation,KY,19.8,2,0,1999,0,13,0,18082,Fully Paid
13000,36 months,437.96,B,B4,10,RENT,85000,Verified,credit_card,CT,21.47,1,0,1998,1,10,0,27832,Fully Paid
25000,36 months,858.46,C,C1,10,RENT,150000,Verified,debt_consolidation,NY,11.61,0,0,1982,0,12,0,33861,Fully Paid
3300,36 months,106.73,B,B1,0,MORTGAGE,30000,Not Verified,car,KS,0,0,0,2000,0,6,0,0,Fully Paid
2000,36 months,68.03,C,C3,10,MORTGAGE,72000,Not Verified,vacation,TX,34.28,0,0,2004,0,7,0,9042,Fully Paid
3000,36 months,93.86,A,A5,10,RENT,60000,Verified,debt_consolidation,PA,7,0,0,1991,0,11,0,8618,Fully Paid
21975,60 months,594.38,E,E4,5,OWN,50000,Source Verified,home_improvement,NY,12.73,0,0,2004,2,4,0,30573,Fully Paid
30000,36 months,956.37,B,B2,0,RENT,125000,Verified,debt_consolidation,CT,11.54,1,0,2005,1,6,0,2109,Fully Paid
11400,60 months,324.2,F,F1,5,RENT,45000,Source Verified,other,TX,6.29,1,0,2010,1,19,0,4894,Charged Off
30000,36 months,960.85,B,B2,10,MORTGAGE,150000,Not Verified,home_improvement,VA,19.06,0,0,2001,0,19,0,21037,Fully Paid
10000,60 months,232.64,C,C4,5,RENT,26000,Source Verified,debt_consolidation,FL,26.55,0,0,2000,0,15,0,333,Charged Off
6000,36 months,191.28,B,B1,4,MORTGAGE,30000,Not Verified,credit_card,FL,33.04,0,0,1990,0,9,1,5156,Charged Off
20950,60 months,554.7,D,D5,2,OWN,60000,Verified,debt_consolidation,CA,11.34,0,0,2000,2,10,0,7540,Fully Paid
9600,36 months,319.41,B,B3,10,RENT,62000,Not Verified,credit_card,CA,20.17,0,0,1995,0,8,0,16757,Fully Paid
15000,36 months,482.25,B,B3,3,MORTGAGE,66000,Verified,debt_consolidation,MD,20.33,1,0,2001,0,6,0,11239,Fully Paid
10000,36 months,342.22,B,B5,2,RENT,45000,Not Verified,credit_card,NY,28.78,0,0,2008,0,15,0,11755,Fully Paid
14000,36 months,463.07,B,B3,2,MORTGAGE,70000,Verified,debt_consolidation,MT,16.53,0,0,2001,1,8,0,28823,Fully Paid
4000,36 months,141.72,D,D2,10,RENT,36299,Not Verified,debt_consolidation,MI,6.85,1,0,2003,1,7,1,4303,Charged Off
11850,36 months,407.72,C,C2,10,OWN,35000,Not Verified,other,TX,27.19,0,0,1986,0,13,0,17699,Fully Paid
17650,60 months,459.7,E,E3,3,RENT,60000,Source Verified,debt_consolidation,FL,13.52,0,0,2005,1,16,0,17259,Fully Paid
8000,36 months,275.92,C,C3,8,RENT,25000,Verified,debt_consolidation,MI,33.8,0,0,2007,0,7,0,7565,Fully Paid
10000,36 months,321.74,B,B3,7,RENT,75000,Not Verified,major_purchase,KS,10.94,0,0,2005,0,7,0,10368,Fully Paid
8000,36 months,261.88,B,B4,3,MORTGAGE,70000,Not Verified,other,OK,18.74,0,0,2002,0,15,0,19554,Charged Off
15000,60 months,356.78,C,C5,10,OWN,75000,Verified,other,FL,0.8,0,0,2003,0,3,0,1000,Fully Paid
13425,60 months,316.92,C,C5,2,RENT,28000,Source Verified,credit_card,NY,30.22,0,0,2002,0,10,0,16314,Charged Off
15000,36 months,492.08,B,B2,8,RENT,85000,Not Verified,debt_consolidation,CA,12.64,0,0,2005,0,13,1,13749,Fully Paid
6500,36 months,212.78,B,B3,10,OWN,80000,Not Verified,debt_consolidation,OH,7.85,0,0,1997,0,11,1,6907,Charged Off
24000,60 months,678.37,F,F1,6,RENT,95704,Verified,debt_consolidation,AZ,37.2,0,0,1999,0,11,0,11396,Charged Off
10000,36 months,318.79,B,B1,2,RENT,42000,Source Verified,debt_consolidation,NJ,19.71,0,0,2008,0,6,0,8411,Fully Paid
9325,36 months,327.29,C,C4,10,MORTGAGE,28000,Verified,debt_consolidation,TN,21.3,0,0,1991,2,8,0,17527,Fully Paid
16000,36 months,550.66,C,C4,10,MORTGAGE,1.00E+05,Source Verified,debt_consolidation,CA,16.21,0,0,1996,0,11,1,15027,Fully Paid
6500,36 months,230.29,D,D2,10,RENT,117500,Verified,moving,FL,22.84,0,0,1997,2,16,1,10675,Charged Off
