,Probability
0,0.5493279198231328
1,0.34045488814490704
2,0.5744877736420709
3,0.6495656716661511
4,0.5444986381618725
5,0.5797152013070819
6,0.46680281721867295
7,0.504301970457048
8,0.4109493728373034
9,0.5393448949381509
10,0.4681552405232774
11,0.292129490243441
12,0.6714398909591518
13,0.3889132552955291
14,0.3314150897220494
15,0.47350616671530593
16,0.46597086856104974
17,0.5124701256128478
18,0.5656116941308716
19,0.6374844230185387
20,0.5483033370448936
21,0.6029482321225006
22,0.3070612046696791
23,0.4993095096471841
24,0.42313419804338126
25,0.2537931741475964
26,0.5529089247519495
27,0.5594875280554742
28,0.2852773979612495
29,0.6859745585519151
30,0.572169986776521
31,0.555304263802018
32,0.6110768999001315
33,0.5626208811275859
34,0.21045165235442398
35,0.5390863757442438
36,0.3956805426359581
37,0.5653793422370984
38,0.5444398384640345
39,0.5008258241520973
40,0.3031255941445181
41,0.40737399121395246
42,0.41556293194861676
43,0.6459773194501881
44,0.32694938970782766
45,0.6355334389407801
46,0.5066752045455485
47,0.4316108655869652
48,0.5279728521765341
49,0.7129255934957816
50,0.560983799613032
51,0.5822772451711733
52,0.525387501496329
53,0.5332808961892929
54,0.3993079727006981
55,0.5393442813856286
56,0.5366616876860694
57,0.5636735710683008
58,0.6323140251795133
59,0.5151890540498814
60,0.5990163790666675
61,0.5735998356888312
62,0.3870923174785525
63,0.6128389223756503
64,0.3998081939781009
65,0.6015165803980258
66,0.5558987731903763
67,0.4898959437669836
68,0.6584046736579151
69,0.5730731851978697
70,0.6376026803261302
71,0.516418817355197
72,0.4485592741462438
73,0.41308232448797266
74,0.5308814978324108
75,0.3720428466894974
76,0.46181567786196676
77,0.5948905312914854
78,0.4233685026906372
79,0.5151506734912104
80,0.5874316574496425
81,0.5986128320897663
82,0.6083582739752154
83,0.596119950638717
84,0.38175378090524603
85,0.5712504202203108
86,0.46484073172403756
87,0.5517668869202552
88,0.6493691573357188
89,0.5062912069373448
90,0.48247469093655443
91,0.4643211663845116
92,0.4554323984531848
93,0.4098825796584558
94,0.3515080235734482
95,0.4804784524040788
96,0.4644606122701103
97,0.4447796906401915
98,0.49382125135396976
99,0.45213492227168317
100,0.4821035433159119
101,0.446541779424803
102,0.6714637617036022
103,0.4944524538695603
104,0.3838587156122572
105,0.754715527788682
106,0.4468482836916095
107,0.40398896679548657
108,0.45118442472075665
109,0.39058541943895286
110,0.4911728223608937
111,0.5199121324561423
112,0.6778844426085869
113,0.5724385197597991
114,0.5481321113001143
115,0.5960131693320333
116,0.5536124425457182
117,0.3788838861289949
118,0.5379567913984874
119,0.5714076041349547
120,0.48676219161498985
121,0.4660575480764007
122,0.2853807614526331
123,0.4996871161391124
124,0.5945740868503683
125,0.5109128044299244
126,0.4502816337819282
127,0.41843301154722984
128,0.36125234697079966
129,0.5293007490335483
130,0.5718845478758683
131,0.49060190530811565
132,0.47001766101392456
133,0.49739466088241957
134,0.5143481761985432
135,0.5036090825088748
136,0.5047881768282227
137,0.5619423931263535
138,0.590594278380359
139,0.7194484717655747
140,0.598149721337229
141,0.7229927723438769
142,0.5609908118365734
143,0.4366770877657078
144,0.46093431980091637
145,0.5757849826084921
146,0.4300668376384617
147,0.3197447474773133
148,0.39500949496916693
149,0.4796351600382198
150,0.5873083254255548
151,0.5014570795267096
152,0.46577357547266574
153,0.506416578672913
154,0.46200664886962794
155,0.3557620367802775
156,0.6176177169078004
157,0.6339940462506491
158,0.6254422497019414
159,0.5334676764553429
160,0.6568781337960242
161,0.6199359815872999
162,0.5672493318709774
163,0.35254029518736446
164,0.6093469205977092
165,0.607905646378937
166,0.6575748888721781
167,0.6415682323018688
168,0.49351562126380033
169,0.5229065440986979
170,0.4273375806537944
171,0.31445435110431663
172,0.48232972497348103
173,0.5834212243007231
